# Phonon free energy and specific heat from phonopy-VASP
# Phonon zero point energy = 0.19309939644311433
#    Temperature (K)   Free energy (eV/cell)   Internal energy (eV/cell)    c_v (kB/cell)   -TS_vib(eV/cell)
1030.0   -3.8451536602316487   2.136995785237757   23.923691275694416   -5.982149444287878
1031.0   -3.8509625721939598   2.1390573752805944   23.923838861901288   -5.990019947663185
1032.0   -3.8567734844603137   2.1411189787969827   23.923986027154918   -5.99789246274323
1033.0   -3.862586393921431   2.1431805947504947   23.92413277145531   -6.005766989097898
1034.0   -3.8684012995408836   2.1452422231411306   23.924279082775218   -6.013643523102803
1035.0   -3.8742181992458176   2.1473038639688893   23.924424973141882   -6.021522063287258
1036.0   -3.8800370909633797   2.149365518270199   23.924570442555307   -6.029402609270891
1037.0   -3.8858579715842887   2.1514271839722054   23.924715491015487   -6.037285156394964
1038.0   -3.8916808411085446   2.1534888631477624   23.92486013054966   -6.045169704308129
1039.0   -3.8975056974632936   2.155550553724016   23.925004349130596   -6.053056251602917
1040.0   -3.9033325375392542   2.15761225777382   23.925148158785518   -6.0609447947326744
1041.0   -3.909161359263573   2.1596739732243204   23.925291547487202   -6.068835333395804
1042.0   -3.91499216263625   2.1617357021483716   23.925434527262876   -6.07672786407156
1043.0   -3.920824944548005   2.1637974424731197   23.925577098112544   -6.084622386490473
1044.0   -3.926659702925982   2.165859195234991   23.925719260036203   -6.092518898239742
1045.0   -3.9324964356973293   2.167920960433986   23.925861013033856   -6.100417395835933
1046.0   -3.9383351418256187   2.1699827380701047   23.92600236913274   -6.108317879056218
1047.0   -3.9441758192379965   2.1720445271069195   23.926143316305613   -6.116220346613352
1048.0   -3.9500184658616093   2.1741063285808586   23.926283866579716   -6.12412479397815
1049.0   -3.9558630796236023   2.176168142491921   23.926424007927814   -6.13203122206163
1050.0   -3.961709659487549   2.17822996780368   23.92656376440437   -6.139939627446694
1051.0   -3.9675582023441684   2.1802918055525624   23.926703111954925   -6.147850007813817
1052.0   -3.973408707157034   2.1823536557385688   23.926842062606703   -6.1557623630365566
1053.0   -3.979261171853291   2.1844155173252715   23.92698062838695   -6.163676688643767
1054.0   -3.9851155943600856   2.186477391349098   23.92711879726842   -6.171592985630415
1055.0   -3.990971973640992   2.188539276773621   23.927256569251124   -6.179511250642626
1056.0   -3.996830307623155   2.19060117359884   23.927393956362287   -6.187431481429281
1057.0   -4.002690593197294   2.1926630828611837   23.92753095860192   -6.195353675751695
1058.0   -4.008552830363409   2.1947250035242236   23.927667563942776   -6.2032778335767045
1059.0   -4.01441701601222   2.196786936624387   23.92780379643933   -6.211203952696719
1060.0   -4.020283149107299   2.198848881125247   23.927939632037116   -6.219132029817974
1061.0   -4.026151226539365   2.200910837026804   23.928075094790604   -6.227062063854295
1062.0   -4.032021248308419   2.202972805365484   23.92821017267255   -6.234994052635403
1063.0   -4.037893211305178   2.2050347840684337   23.928344865682963   -6.242927995105178
1064.0   -4.043767113456791   2.207096775208507   23.928479185849074   -6.250863889121327
1065.0   -4.049642954763256   2.2091587777492774   23.928613133170884   -6.258801732553992
1066.0   -4.0555207310788655   2.211220791690744   23.92874669562116   -6.2667415232857495
1067.0   -4.06140044240362   2.213282818069334   23.92887989725437   -6.27468326031749
1068.0   -4.067282086664665   2.2153448548121943   23.929012714016043   -6.282626941559774
1069.0   -4.0731656607527205   2.217406902955751   23.929145169960655   -6.2905725649356
1070.0   -4.079051164667786   2.219468963536431   23.929277253060963   -6.298520128380409
1071.0   -4.084938595300579   2.221531034481381   23.92940896331697   -6.306469629842073
1072.0   -4.090827951614675   2.2235931168270273   23.929540300728675   -6.314421068391954
1073.0   -4.096719231537219   2.2256552105733705   23.92967127732332   -6.32237444200591
1074.0   -4.102612432995357   2.22771731572041   23.929801893100894   -6.330329748672238
1075.0   -4.108507553916235   2.2297794322681463   23.929932148061404   -6.338286986391668
1076.0   -4.114404594299854   2.2318415602165795   23.93006204220485   -6.346246154292565
1077.0   -4.1203035500005045   2.233903698529282   23.930191563503996   -6.354207249287414
1078.0   -4.126204421018188   2.235965848242681   23.93032073601331   -6.36217026941426
1079.0   -4.132107205280049   2.238028009356777   23.93044954770556   -6.370135214960191
1080.0   -4.138011899676808   2.2400901818715697   23.93057801060798   -6.378102081755664
1081.0   -4.1439185042084645   2.242152364750632   23.93070611269334   -6.386070868996407
1082.0   -4.149827016802165   2.2442145590303904   23.93083385396163   -6.39404157589474
1083.0   -4.1557374343486275   2.2462767647108457   23.93096124644009   -6.402014199434659
1084.0   -4.161649756847853   2.2483389807555705   23.931088290128724   -6.40998873773194
1085.0   -4.16756398119056   2.2504012071645656   23.931214985027527   -6.417965188914796
1086.0   -4.17348010737675   2.2524634460106836   23.931341331136498   -6.425943552249437
