#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
     446.000     -85.5427633    394.7249584    196.2035514     90.5045681
     447.000     -85.9377081    395.1644007    196.2182719     90.7007790
     448.000     -86.3330918    395.6028938    196.2328958     90.8970046
     449.000     -86.7289136    396.0404417    196.2474241     91.0932448
     450.000     -87.1251724    396.4770485    196.2618576     91.2894994
     451.000     -87.5218673    396.9127180    196.2761971     91.4857685
     452.000     -87.9189975    397.3474542    196.2904433     91.6820518
     453.000     -88.3165619    397.7812611    196.3045971     91.8783493
     454.000     -88.7145597    398.2141425    196.3186594     92.0746610
     455.000     -89.1129899    398.6461023    196.3326308     92.2709866
     456.000     -89.5118516    399.0771443    196.3465121     92.4673262
     457.000     -89.9111439    399.5072724    196.3603042     92.6636796
     458.000     -90.3108659    399.9364905    196.3740077     92.8600468
     459.000     -90.7110166    400.3648021    196.3876235     93.0564276
     460.000     -91.1115952    400.7922112    196.4011523     93.2528220
     461.000     -91.5126007    401.2187214    196.4145947     93.4492299
     462.000     -91.9140323    401.6443365    196.4279516     93.6456512
     463.000     -92.3158891    402.0690601    196.4412237     93.8420857
     464.000     -92.7181701    402.4928959    196.4544116     94.0385336
     465.000     -93.1208746    402.9158476    196.4675162     94.2349945
